author_name,text_title,event_id,start_page_event,end_page_event,page_event_number,line,narrative_status,conflict,harmony,partition,family_name,given_name,nickname,page_first_mentioned,gender,number,religion,relig_att_char,religious_conversion,vitality,cause_of_death,non-human,country_of_birth,presentmentioned,text_place_title,place_name,location_religion,relig_att_loc,geolocation,mentioned,location_name,location_country,short_description,wkt,locational_certainty,geometry,administrative_area,pub_year,gender_author,country_of_birth_author,author_birth_location,text_place_id,character_id,text_id,location_id,author_id,author_birth_id
"Pritam, Amrita",Pinjar,342,15,15,1,Rashida came running breathlessly towards her.,NA,NA,NA,NA,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,"Pooro's home, Chatto village in Pinjar","Pooro's home, Chatto village",Hindu,Speculation,CREATED,NA,Chatto Village: Pooro's Home,Pakistan,The place where Pooro lives. This location has no connection to reality.,POINT(73.48151 32.574085),3. Conjectural,NA,NA,1950,Female,Pakistan,Mandi Bahauddin,338,248,37,3112,35,36
"Pritam, Amrita",Pinjar,345,15,15,2,The third day the Maulvi came with another two or three men.,NA,NA,NA,NA,Unknown,Maulvi,NA,11,Male,Single,Muslim,Definitional,NA,NA,NA,NA,NA,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,347,37,3114,35,36
"Pritam, Amrita",Pinjar,345,15,15,2,The third day the Maulvi came with another two or three men.,NA,NA,NA,NA,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,248,37,3114,35,36
"Pritam, Amrita",Pinjar,345,15,15,2,The third day the Maulvi came with another two or three men.,NA,NA,NA,NA,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,297,37,3114,35,36
"Pritam, Amrita",Pinjar,350,16,16,1,Rashida packed is odds and ends,NA,NA,NA,FALSE,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,248,37,3114,35,36
"Pritam, Amrita",Pinjar,350,16,16,1,Rashida packed is odds and ends,NA,NA,NA,FALSE,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,297,37,3114,35,36
"Pritam, Amrita",Pinjar,350,16,16,1,Rashida packed is odds and ends,NA,NA,NA,FALSE,Unknown,Rahima,NA,16,Male,Single,Muslim,Speculation,NA,NA,NA,NA,NA,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,353,37,3114,35,36
"Pritam, Amrita",Pinjar,385,21,22,2,Rashida was overcome with emotion. He had won over the Hindu girl.,NA,Religion,NA,TRUE,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,248,37,3114,35,36
"Pritam, Amrita",Pinjar,385,21,22,2,Rashida was overcome with emotion. He had won over the Hindu girl.,NA,Religion,NA,TRUE,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,297,37,3114,35,36
"Pritam, Amrita",Pinjar,387,21,21,3,"One full hour later, the midwife came out and said",NA,NA,NA,FALSE,Shaikh,Rashida,NA,4,Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,297,37,3114,35,36
"Pritam, Amrita",Pinjar,387,21,21,3,"One full hour later, the midwife came out and said",NA,NA,NA,FALSE,Unknown,Midwife,NA,20,Unknown,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,368,37,3114,35,36
"Pritam, Amrita",Pinjar,387,21,21,3,"One full hour later, the midwife came out and said",NA,NA,NA,FALSE,Shaikh,Javed,NA,21,Male,Single,Muslim,NA,NA,NA,NA,NA,Pakistan,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,445,37,3114,35,36
"Pritam, Amrita",Pinjar,389,22,22,2,Hamida opened her eyes. They seemed to say,NA,Interpersonal,NA,FALSE,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,248,37,3114,35,36
"Pritam, Amrita",Pinjar,390,22,22,3,"A strange, strong emotion welled up in Hamida’s bosom.",NA,Interpersonal,Interpersonal,FALSE,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,248,37,3114,35,36
"Pritam, Amrita",Pinjar,390,22,22,3,"A strange, strong emotion welled up in Hamida’s bosom.",NA,Interpersonal,Interpersonal,FALSE,Shaikh,Javed,NA,21,Male,Single,Muslim,NA,NA,NA,NA,NA,Pakistan,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,445,37,3114,35,36
"Pritam, Amrita",Pinjar,391,22,23,1,The boy tugged at his mother’s breast.,NA,Interpersonal,Interpersonal,FALSE,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,248,37,3114,35,36
"Pritam, Amrita",Pinjar,391,22,23,1,The boy tugged at his mother’s breast.,NA,Interpersonal,Interpersonal,FALSE,Shaikh,Javed,NA,21,Male,Single,Muslim,NA,NA,NA,NA,NA,Pakistan,Present,Rashida's home in Pinjar,Rashida's home,Muslim,Speculation,CREATED,NA,Sakar Village: Rashid's Home,Pakistan,Paroo is abducted to this village,POINT(73.548589 32.544534),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,334,445,37,3114,35,36
"Pritam, Amrita",Pinjar,396,23,23,2,One morning Hamida went out to the fields,NA,NA,NA,FALSE,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Field in Pinjar,Field,Unknown,NA,CREATED,NA,Chatto Village: Field,Pakistan,NA,POINT(73.48647 32.576798),3. Conjectural,NA,NA,1950,Female,Pakistan,Mandi Bahauddin,2824,248,37,3110,35,36
"Pritam, Amrita",Pinjar,398,23,23,3,she came to the well used by the Muslims,NA,NA,Religion,FALSE,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Well in Pinjar,Well,Muslim,NA,CREATED,FALSE,Sakar Village: Well,Pakistan,Paroo is abducted to this village,POINT(73.544458 32.542291),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,397,248,37,3116,35,36
"Pritam, Amrita",Pinjar,401,23,23,4,"she recognized the girl, Kammo, who lived",NA,NA,NA,FALSE,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Well in Pinjar,Well,Muslim,NA,CREATED,FALSE,Sakar Village: Well,Pakistan,Paroo is abducted to this village,POINT(73.544458 32.542291),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,397,248,37,3116,35,36
"Pritam, Amrita",Pinjar,401,23,23,4,"she recognized the girl, Kammo, who lived",NA,NA,NA,FALSE,Unknown,Kammo,NA,23,Female,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,Well in Pinjar,Well,Muslim,NA,CREATED,FALSE,Sakar Village: Well,Pakistan,Paroo is abducted to this village,POINT(73.544458 32.542291),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,397,399,37,3116,35,36
"Pritam, Amrita",Pinjar,402,23,24,1,Hamida went up to Kammo,NA,NA,Gender,FALSE,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Well in Pinjar,Well,Muslim,NA,CREATED,FALSE,Sakar Village: Well,Pakistan,Paroo is abducted to this village,POINT(73.544458 32.542291),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,397,248,37,3116,35,36
"Pritam, Amrita",Pinjar,402,23,24,1,Hamida went up to Kammo,NA,NA,Gender,FALSE,Unknown,Kammo,NA,23,Female,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,Well in Pinjar,Well,Muslim,NA,CREATED,FALSE,Sakar Village: Well,Pakistan,Paroo is abducted to this village,POINT(73.544458 32.542291),3. Conjectural,Point,10 Village/Civic Ward,1950,Female,Pakistan,Mandi Bahauddin,397,399,37,3116,35,36
"Pritam, Amrita",Pinjar,403,24,25,1,"“I can carry the pitcher for you,” said Hamida",NA,NA,Gender,FALSE,Sahukars,Pooro,NA,1,Female,Single,Hindu,Other-identified.Narrator other-attributed,Hindu to Muslim,NA,NA,NA,Pakistan,Present,Field in Pinjar,Field,Unknown,NA,CREATED,NA,Chatto Village: Field,Pakistan,NA,POINT(73.48647 32.576798),3. Conjectural,NA,NA,1950,Female,Pakistan,Mandi Bahauddin,2824,248,37,3110,35,36
"Pritam, Amrita",Pinjar,403,24,25,1,"“I can carry the pitcher for you,” said Hamida",NA,NA,Gender,FALSE,Unknown,Kammo,NA,23,Female,Single,Hindu,NA,NA,NA,NA,NA,NA,Present,Field in Pinjar,Field,Unknown,NA,CREATED,NA,Chatto Village: Field,Pakistan,NA,POINT(73.48647 32.576798),3. Conjectural,NA,NA,1950,Female,Pakistan,Mandi Bahauddin,2824,399,37,3110,35,36
"Hosain, Attia",Sunlight on a Broken Column,404,156,156,2,On the day of the Viceroy's arrival the,NA,NA,NA,NA,Police,Unknown,NA,156,Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Lucknow, India in Sunlight on a Broken Column","Lucknow, India",Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,370,374,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,404,156,156,2,On the day of the Viceroy's arrival the,NA,NA,NA,NA,Viceroy,Unknown,NA,156,Male,Single,Christian,Speculation,NA,NA,NA,NA,NA,Present,"Lucknow, India in Sunlight on a Broken Column","Lucknow, India",Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,370,341,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,404,156,156,2,On the day of the Viceroy's arrival the,NA,NA,NA,NA,School-children,Unknown,NA,156,Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Lucknow, India in Sunlight on a Broken Column","Lucknow, India",Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,370,405,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,404,156,156,2,On the day of the Viceroy's arrival the,NA,NA,NA,NA,Onlookers,Unknown,NA,156,Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Lucknow, India in Sunlight on a Broken Column","Lucknow, India",Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,370,406,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,404,156,156,2,On the day of the Viceroy's arrival the,NA,NA,NA,NA,Paid men,Unknown,NA,156,Male,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Lucknow, India in Sunlight on a Broken Column","Lucknow, India",Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,370,408,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,411,156,156,3,All morning my uncle was kept busy with,NA,NA,NA,NA,Hasan,Hamid,NA,84,Male,Single,Muslim,Self-identified,NA,NA,NA,NA,NA,Present,"Lucknow, India in Sunlight on a Broken Column","Lucknow, India",Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,370,321,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,411,156,156,3,All morning my uncle was kept busy with,NA,NA,NA,NA,University Authorities,Unknown,NA,156,Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Lucknow, India in Sunlight on a Broken Column","Lucknow, India",Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,370,417,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,411,156,156,3,All morning my uncle was kept busy with,NA,NA,NA,NA,Student-leaders,Unknown,NA,156,Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"Lucknow, India in Sunlight on a Broken Column","Lucknow, India",Unknown|Unaffiliated,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,370,418,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,419,157,158,1,Everything had gone well. Speeches had been made;,NA,NA,NA,NA,Viceroy,Unknown,NA,156,Male,Single,Christian,Speculation,NA,NA,NA,NA,NA,Present,University in Sunlight on a Broken Column,University,Unknown,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,427,341,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,419,157,158,1,Everything had gone well. Speeches had been made;,NA,NA,NA,NA,Governor,Unknown,NA,157,Unknown,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,University in Sunlight on a Broken Column,University,Unknown,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,427,422,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,419,157,158,1,Everything had gone well. Speeches had been made;,NA,NA,NA,NA,Professors,Unknown,NA,157,Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,University in Sunlight on a Broken Column,University,Unknown,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,427,423,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,419,157,158,1,Everything had gone well. Speeches had been made;,NA,NA,NA,NA,Police,Unknown,NA,156,Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,University in Sunlight on a Broken Column,University,Unknown,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,427,374,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,419,157,158,1,Everything had gone well. Speeches had been made;,NA,NA,NA,NA,Proctors,Unknown,NA,157,Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,University in Sunlight on a Broken Column,University,Unknown,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,427,424,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,419,157,158,1,Everything had gone well. Speeches had been made;,NA,NA,NA,NA,Students,Unknown,NA,157,Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,University in Sunlight on a Broken Column,University,Unknown,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,427,426,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,419,157,158,1,Everything had gone well. Speeches had been made;,NA,NA,NA,NA,Hasan,Zahra,NA,14,Female,Single,Muslim,NA,NA,NA,NA,NA,NA,Present,University in Sunlight on a Broken Column,University,Unknown,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,427,318,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,419,157,158,1,Everything had gone well. Speeches had been made;,NA,NA,NA,NA,Hasan,Majida,NA,14,Female,Single,Muslim,NA,NA,NA,NA,NA,NA,Present,University in Sunlight on a Broken Column,University,Unknown,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,427,316,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,419,157,158,1,Everything had gone well. Speeches had been made;,NA,NA,NA,NA,Principal,Unknown,NA,158,Unknown,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,University in Sunlight on a Broken Column,University,Unknown,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,427,429,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,430,158,159,1,Nita was explosive when we met to discuss,NA,NA,NA,NA,Chatterjee,Nita,NA,123,Female,Single,Hindu,Nominal,NA,NA,NA,NA,NA,Present,University in Sunlight on a Broken Column,University,Unknown,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,427,431,25,22,21,22
"Hosain, Attia",Sunlight on a Broken Column,430,158,159,1,Nita was explosive when we met to discuss,NA,NA,NA,NA,Waheed,Nadira,NA,125,Female,Single,Muslim,Nominal,NA,NA,NA,NA,NA,Present,University in Sunlight on a Broken Column,University,Unknown,NA,CREATED,NA,Lucknow University,India,Lucknow in UP,POINT(80.936033 26.863315),1. High confidence,Point,7 Metropolitan Area,1961,Female,India,Lucknow University,427,433,25,22,21,22
